Edwardo_Nabors,2296,Cpp-ObjDump
Edwardo_Nabors,403,SCSS
Edwardo_Nabors,874,Verilog
Cherryl_Whelihan,1550,NumPy
Matthew_McManuis,1877,C2hs Haskell
Sarrah_Temple,1504,Objective-C
Tobin_Hugger,194,Bro
Corda_Pekar,2888,Java
Acy_Orn,1600,reStructuredText
Acy_Orn,1524,Unified Parallel C
Acy_Orn,53,M
Audrey_Inscore,367,ObjDump
Audrey_Inscore,2739,Max
Audrey_Inscore,100,Monkey
Madelynn_Boutchyard,2353,FORTRAN
Madelynn_Boutchyard,1183,Bro
Madelynn_Boutchyard,1609,C++
Lesia_Heisser,1013,Arduino
Dionicio_Macnair,2963,Myghty
Dionicio_Macnair,1374,COBOL
Dionicio_Macnair,1935,Python
Dionicio_Macnair,1123,Matlab
